Date,Action,Company,Ticker,Date of PDF,Issues,Reference
6-Sep-13,Addition,(SGN) STW Communications Group,SGN,5/6/15,Check,
6-Sep-13,Addition,(SKT) Sky Network Television,SKT,1/9/17,Check,
6-Sep-13,Removal,(BBG) Billabong International,BBG,6/9/13,,
6-Sep-13,Removal,(DML) Discovery Metals,DML,6/9/13,,
6-Sep-13,Removal,(EHL) Emeco Holdings,EHL,6/9/19,Check,
6-Sep-13,Removal,(FKP) Property Group,FKP,6/9/13,,
6-Sep-13,Removal,(MDL) Mineral Deposits,MDL,6/9/13,,
7-Jun-13,Addition,(AHE) Automotive Holdings Group,AHE,7/6/13,,
7-Jun-13,Addition,(DMP) Domino's Pizza Enterprises,DMP,7/6/13,,
7-Jun-13,Addition,(GEM) G8 Education,GEM,7/6/13,,
7-Jun-13,Addition,(LNC) Linc Energy,LNC,8/11/13,Check,
7-Jun-13,Addition,(REA) REA Group,REA,7/6/13,,
7-Jun-13,Addition,(SIR) Sirius Resources,SIR,3/9/15,Check,
7-Jun-13,Removal,(AIX) Australian Infrastructure Fund,AIX,7/6/13,,
7-Jun-13,Removal,(CPL) Coalspur Mines,CPL,7/6/13,,
7-Jun-13,Removal,(IMD) Imdex,IMD,7/6/13,,
7-Jun-13,Removal,(MAD) Maverick Drilling & Exploration,MAD,7/6/13,,
7-Jun-13,Removal,(MBN) Mirabela Nickel,MBN,7/6/13,,
7-Jun-13,Removal,(TRY) Troy Resources,TRY,7/6/13,,
1-Mar-13,Addition,(HZN) Horizon Oil,HZN,6/3/15,Check,
1-Mar-13,Addition,(MFG) Magellan Financial Group,MFG,1/3/13,,
1-Mar-13,Addition,(PMV) Premier Investments,PMV,1/3/13,,
1-Mar-13,Addition,(TME) Trade Me Group,TME,1/3/13,,
1-Mar-13,Removal,(BTU) Bathurst Resources,BTU,1/3/13,,
1-Mar-13,Removal,(GBG) Gindalbie Metals,GBG,1/3/13,,
1-Mar-13,Removal,(GRY) Gryphon Minerals,GRY,1/3/13,,
1-Mar-13,Removal,(SAR) Saracen Mineral Holdings,SAR,3/5/16,Check,
7-Dec-12,Addition,(IIN) iiNet,IIN,20/8/15,Check,
7-Dec-12,Addition,(MAD) Maverick Drilling & Exploration,MAD,7/6/13,Check,
7-Dec-12,Addition,(MMS) McMillan Shakespeare,MMS,7/12/12,,
7-Dec-12,Removal,(APN) APN News & Media,APN,11/10/18,Check,
7-Dec-12,Removal,(IAU) Intrepid Mines,IAU,7/12/12,,
7-Dec-12,Removal,(LNC) Linc Energy,LNC,8/11/13,Check,
7-Dec-12,Removal,(MAH) Macmahon Holdings,MAH,7/12/12,,
7-Sep-12,Addition,(DLS) Drillsearch Energy,DLS,4/12/15,Check,
7-Sep-12,Addition,(SAI) SAI Global,SAI,5/12/16,Check,
7-Sep-12,Addition,(SKE) Skilled Group,SKE,5/6/15,Check,
7-Sep-12,Removal,(AQP) Aquarius Platinum,AQP,7/9/12,,
7-Sep-12,Removal,(PAN) Panoramic Resources,PAN,7/9/12,,
7-Sep-12,Removal,(RMS) Ramelius Resources,RMS,7/9/12,,
20-Jul-12,Addition,(FXL) FlexiGroup,FXL,8/12/17,Check,
20-Jul-12,Removal,(SPT) Spotless Group,SPT,20/7/12,,
20-Jun-12,Addition,(BRU) Buru Energy,BRU,5/9/14,Check,
20-Jun-12,Removal,(GCL) Gloucester Coal,GCL,20/6/12,,
1-Jun-12,Addition,(CDD) Cardno,CDD,4/12/15,Check,
1-Jun-12,Addition,(MTU) M2 Telecommunications Group,MTU,1/2/16,Check,
1-Jun-12,Removal,(DTE) Dart Energy,DTE,1/6/12,,
1-Jun-12,Removal,(ERA) Energy Resources of Australia,ERA,1/6/12,,
12-Apr-12,Addition,(DCG) Decmil Group,DCG,7/3/14,Check,
12-Apr-12,Addition,(TRY) Troy Resources,TRY,7/6/13,Check,
12-Apr-12,Removal,(CQO) Charter Hall Office REIT,CQO,12/4/12,,
12-Apr-12,Removal,(AZT) Aston Resources,AZT,12/4/12,,
5-Apr-12,Addition,(SXY) Senex Energy,SXY,4/9/15,Check,
5-Apr-12,Removal,(AUN) Austar United Communications,AUN,5/4/12,,
21-Mar-12,Addition,(SUL) Super Retail Group,SUL,21/3/12,,
21-Mar-12,Removal,(EXT) Extract Resources,EXT,21/3/12,,
2-Mar-12,Addition,(CRF) Centro Retail,CRF,2/3/12,,
2-Mar-12,Addition,(EVN) Evolution Mining,EVN,2/3/12,,
2-Mar-12,Addition,(SUL) Super Retail Group,SUL,21/3/12,,
2-Mar-12,Removal,(KZL) Kagara,KZL,2/3/12,,
2-Mar-12,Removal,(WEC) White Energy Company,WEC,2/3/12,,
2-Dec-11,Addition,(IGR) Integra Mining,IGR,2/12/11,,
2-Dec-11,Addition,(IMD) Imdex,IMD,7/6/13,Check,
2-Dec-11,Addition,(RMS) Ramelius Resources,RMS,7/9/12,Check,
2-Dec-11,Addition,(SLR) Silver Lake Resources,SLR,6/9/19,Check,
2-Dec-11,Removal,(CNU) Chorus,CNU,21/4/17,Check,
2-Dec-11,Removal,(GNS) Gunns,GNS,2/12/11,,
2-Dec-11,Removal,(MMX) Murchison Metals,MMX,2/12/11,,
2-Dec-11,Removal,(OMH) OM Holdings,OMH,2/12/11,,
25-Nov-11,Addition,N/A,N/A,#N/A,#N/A,
25-Nov-11,Removal,(FGL) Foster's Group,FGL,25/11/11,,
11-Nov-11,Addition,(CNU) Chorus,CNU,21/4/17,Check,
11-Nov-11,Removal,N/A,N/A,#N/A,#N/A,
26-Oct-11,Addition,(IDL) Industrea,IDL,26/10/11,,
26-Oct-11,Addition,(MDL) Mineral Deposits,MDL,6/9/13,Check,
26-Oct-11,Removal,(MCC) Macarthur Coal,MCC,26/10/11,,
26-Oct-11,Removal,(ESG) Eastern Star Gas,ESG,23/3/20,Check,
2-Sep-11,Addition,(QUB) Qube Logistics Holdings,QUB,2/9/11,,
2-Sep-11,Addition,(ACR) Acrux,ACR,6/6/14,Check,
2-Sep-11,Removal,(IFN) Infigen Energy,IFN,8/3/19,Check,
2-Sep-11,Removal,(HIL) Hills Holdings,HIL,2/9/11,,
3-Jun-11,Addition,(AZT) Aston Resources,AZT,12/4/12,Check,
3-Jun-11,Addition,(BTU) Bathurst Resources,BTU,1/3/13,Check,
3-Jun-11,Addition,(CPB) Campbell Brothers,CPB,3/6/11,,
3-Jun-11,Addition,(NWH) NRW Holdings,NWH,5/9/14,Check,
3-Jun-11,Removal,(CVN) Carnarvon Petroleum,CVN,3/6/11,,
3-Jun-11,Removal,(EAU) Eldorado Gold Corporation,EAU,3/6/11,,
3-Jun-11,Removal,(MCR) Mincor Resources,MCR,3/6/11,,
3-Jun-11,Removal,(ROC) ROC Oil Company,ROC,3/6/11,,
2-Jun-11,Addition,N/A,N/A,#N/A,#N/A,
2-Jun-11,Removal,(EQN) Equinox Minerals,EQN,2/6/11,,
27-May-11,Addition,(EGP) Echo Entertainment Group,EGP,27/5/11,,
27-May-11,Removal,N/A,N/A,#N/A,#N/A,
2-May-11,Addition,(TWE) Treasury Wines Estates,TWE,2/5/11,,
2-May-11,Removal,(HST) Hastie Group,HST,2/5/11,,
15-Apr-11,Removal,(MSB) Mesoblast,MSB,2/9/16,Check,
15-Apr-11,Removal,(TAL) Tower Australia Group,TAL,15/4/11,,
